,PC1,PC2,ss
502,-0.41474047,-0.3769456,10
503,-0.3362178,-0.45587802,10
504,0.95547354,0.47402322,10
505,-1.0746641,0.51858866,10
506,0.26184934,0.061907858,10
507,0.61773115,0.36287335,10
508,0.49668062,0.3395885,10
509,0.29407153,-1.0162182,10
510,-0.65079176,-0.155343,10
511,-0.43720582,-0.048524678,10
512,0.53736794,0.21987513,10
513,1.0489008,-0.025796294,10
514,0.4389402,0.8111198,10
515,1.1687745,-1.0687063,10
516,-0.006647736,-0.58679384,10
517,0.39505127,0.041327,10
518,1.3351573,-1.0300071,10
519,-0.8016856,0.47556502,10
520,0.95494306,0.4266798,10
521,0.42835253,0.014745295,10
522,-0.4860702,0.3427932,10
523,0.9705498,0.9669788,10
524,-0.7499933,-0.07440686,10
525,0.16045254,-0.39142686,10
526,-0.063830465,0.5180528,10
527,-0.6068505,-0.3711695,10
528,0.5787673,0.57629687,10
529,-0.028609544,-0.016818285,10
530,0.7023463,0.04371631,10
531,-0.032083243,0.48171067,10
532,0.7471313,0.01503557,10
533,-0.026721805,-0.1546135,10
534,0.16928318,0.770358,10
535,0.49200612,-0.035117924,10
536,-0.4090809,-0.46405798,10
537,-0.36597124,0.35313854,10
538,0.29280728,-0.46875662,10
539,0.11620036,-0.5286667,10
540,0.978408,-0.02796489,10
541,0.099745095,-0.49423057,10
542,0.53489244,-0.40659356,10
543,-0.47608653,0.5027063,10
544,-0.106754154,-0.895318,10
545,0.57447386,0.07727569,10
546,-0.29716483,-0.49551612,10
547,0.41466558,0.31411582,10
